id,case_number,date,block,iucr,crime_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,city,data_source,fetch_date
14071824,JK101162,2026-01-01 22:40:00,063XX N WINTHROP AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2433,024,48,77,08B,1167709,1942166,2026,2026-01-09T15:43:07.000,41.996852502,-87.65842198,"{'latitude': '41.996852502', 'longitude': '-87.65842198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071775,JK101155,2026-01-01 22:40:00,062XX N BROADWAY,0460,BATTERY,SIMPLE,RESTAURANT,False,False,2433,024,48,77,08B,1167168,1941591,2026,2026-01-09T15:43:07.000,41.995286373,-87.660428707,"{'latitude': '41.995286373', 'longitude': '-87.660428707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071780,JK101146,2026-01-01 22:58:00,013XX N LATROBE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,True,False,2532,025,37,25,04A,1141133,1908282,2026,2026-01-09T15:43:07.000,41.904404829,-87.757023082,"{'latitude': '41.904404829', 'longitude': '-87.757023082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071807,JK101154,2026-01-01 23:00:00,047XX S LAKE PARK AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,0222,002,4,39,08B,1186364,1873970,2026,2026-01-09T15:43:07.000,41.809297059,-87.591967028,"{'latitude': '41.809297059', 'longitude': '-87.591967028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14072134,JK101598,2026-01-01 23:00:00,040XX W HARRISON ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,1132,011,24,26,08A,1149568,1897055,2026,2026-01-09T15:43:07.000,41.873437053,-87.726330444,"{'latitude': '41.873437053', 'longitude': '-87.726330444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071784,JK101164,2026-01-01 23:43:00,010XX E 47TH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,0222,002,4,39,08A,1183950,1874059,2026,2026-01-09T15:43:07.000,41.809598084,-87.60081824,"{'latitude': '41.809598084', 'longitude': '-87.60081824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071768,JK101196,2026-01-01 23:45:00,036XX W 63RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,0823,008,23,65,08B,1153105,1862591,2026,2026-01-09T15:43:07.000,41.778793951,-87.714256051,"{'latitude': '41.778793951', 'longitude': '-87.714256051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071805,JK101169,2026-01-01 23:55:00,025XX W WALTON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,True,True,1211,012,36,24,04A,1159301,1906235,2026,2026-01-09T15:43:07.000,41.898433364,-87.690343074,"{'latitude': '41.898433364', 'longitude': '-87.690343074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071765,JK101171,2026-01-01 23:57:00,096XX S INDIANA AVE,0460,BATTERY,SIMPLE,RESIDENCE,False,False,0511,005,9,49,08B,1179282,1841016,2026,2026-01-09T15:43:07.000,41.719032453,-87.618946082,"{'latitude': '41.719032453', 'longitude': '-87.618946082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071781,JK101185,2026-01-02 00:00:00,050XX S DAMEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0931,009,15,61,08B,1163871,1871326,2026,2026-01-09T15:43:07.000,41.802544433,-87.674541449,"{'latitude': '41.802544433', 'longitude': '-87.674541449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
